line,order_id,video_name,camera_id,init_box,init_time,ai_tracker_picker_found,ai_tracker_last_bbox,ai_tracker_last_time,ai_tracker_stalls,agent_last_bbox,agent_last_time,agent_stalls
0,10264218,Videos/20240117/10264218/ai/C2_S20240117081610900_E20240117081710900.mp4,2,"{""x"": 267.0, ""y"": 40.0, ""height"": 7.0, ""width"": 14.0}",2024-01-17 08:16:15.900000+00:00,TRUE,"{""x"": 119.2363052368164, ""y"": 334.58935546875, ""height"": 39.445762634277344, ""width"": 25.41064453125}",2024-01-17 08:16:30.200000+00:00,"[{""time"": ""2024-01-17 08:16:17.500000+00:00"", ""center"": {""x"": 108.02297386169434, ""y"": 144.98392646789551}}]","{""x"": 139.0, ""y"": 335.0, ""height"": 40.0, ""width"": 25.0}",2024-01-17 08:16:31.300000+00:00,"[{""time"": ""2024-01-17 08:16:22.800000+00:00"", ""center"": {""x"": 81.046, ""y"": 131.107}}]"
1,10264218,Videos/20240117/10264218/ai/C4_S20240117081630400_E20240117081730400.mp4,4,"{""x"": 163.0, ""y"": 70.0, ""height"": 15.0, ""width"": 8.0}",2024-01-17 08:16:35.400000+00:00,TRUE,"{""x"": 137.36257934570312, ""y"": 334.9190673828125, ""height"": 36.9473876953125, ""width"": 25.0809326171875}",2024-01-17 08:16:40.200000+00:00,[],"{""x"": 159.0, ""y"": 353.0, ""height"": 16.0, ""width"": 7.0}",2024-01-17 08:16:41.100000+00:00,[]
2,10264218,Videos/20240117/10264218/ai/C5_S20240117081636100_E20240117081736100.mp4,5,"{""x"": 130.0, ""y"": 32.0, ""height"": 22.0, ""width"": 8.0}",2024-01-17 08:16:41.100000+00:00,TRUE,"{""x"": 145.7364044189453, ""y"": 4.5159502029418945, ""height"": 31.814620971679688, ""width"": 24.496135711669922}",2024-01-17 08:16:40.200000+00:00,"[{""time"": ""2024-01-17 08:16:44.600000+00:00"", ""center"": {""x"": 142.08094970703124, ""y"": 60.037992782592774}}, {""time"": ""2024-01-17 08:17:01.900000+00:00"", ""center"": {""x"": 118.76872909545898, ""y"": 144.65787948608397}}]","{""x"": 275.0, ""y"": 344.0, ""height"": 24.0, ""width"": 16.0}",2024-01-17 08:17:16.200000+00:00,"[{""time"": ""2024-01-17 08:16:50.700000+00:00"", ""center"": {""x"": 106.187, ""y"": 34.703}}, {""time"": ""2024-01-17 08:17:03.900000+00:00"", ""center"": {""x"": 108.187, ""y"": 150.203}}]"
3,10264218,Videos/20240117/10264218/ai/C6_S20240117081711200_E20240117081811200.mp4,6,"{""x"": 299.0, ""y"": 57.0, ""height"": 31.0, ""width"": 21.0}",2024-01-17 08:17:16.200000+00:00,TRUE,"{""x"": 69.81271362304688, ""y"": 315.4156494140625, ""height"": 51.726539611816406, ""width"": 40.45166015625}",2024-01-17 08:17:19.600000+00:00,[],"{""x"": 251.0, ""y"": 342.0, ""height"": 34.0, ""width"": 18.0}",2024-01-17 08:17:11.300000+00:00,[]
4,10265413,Videos/20240117/10265413/ai/C2_S20240117081407600_E20240117081507600.mp4,2,"{""x"": 259.0, ""y"": 34.0, ""height"": 7.0, ""width"": 15.0}",2024-01-17 08:14:12.600000+00:00,TRUE,"{""x"": 94.4407730102539, ""y"": 322.8250732421875, ""height"": 34.41210174560547, ""width"": 36.504486083984375}",2024-01-17 08:15:01.300000+00:00,"[{""time"": ""2024-01-17 08:14:17.200000+00:00"", ""center"": {""x"": 98.29380516052247, ""y"": 141.67249061584474}}, {""time"": ""2024-01-17 08:14:38.300000+00:00"", ""center"": {""x"": 99.6069329071045, ""y"": 216.85856719970704}}]","{""x"": 120.0, ""y"": 332.0, ""height"": 24.0, ""width"": 24.0}",2024-01-17 08:15:03.400000+00:00,"[{""time"": ""2024-01-17 08:14:22.800000+00:00"", ""center"": {""x"": 56.429, ""y"": 138.628}}, {""time"": ""2024-01-17 08:14:22.800000+00:00"", ""center"": {""x"": 57.762, ""y"": 134.295}}, {""time"": ""2024-01-17 08:14:40.300000+00:00"", ""center"": {""x"": 70.012, ""y"": 224.712}}, {""time"": ""2024-01-17 08:14:40.300000+00:00"", ""center"": {""x"": 68.845, ""y"": 220.045}}, {""time"": ""2024-01-17 08:14:44.900000+00:00"", ""center"": {""x"": 81.179, ""y"": 223.712}}, {""time"": ""2024-01-17 08:14:44.900000+00:00"", ""center"": {""x"": 80.345, ""y"": 219.712}}, {""time"": ""2024-01-17 08:14:58.900000+00:00"", ""center"": {""x"": 83.845, ""y"": 299.379}}]"
5,10264218,Videos/20240117/10264218/ai/C26_S20240117081706300_E20240117081806300.mp4,26,"{""x"": 319.0, ""y"": 170.0, ""height"": 68.0, ""width"": 1.0}",2024-01-17 08:17:11.300000+00:00,FALSE,,,,"{""x"": 352.0, ""y"": 81.0, ""height"": 52.0, ""width"": 27.0}",2024-01-17 08:17:06.400000+00:00,[]
6,10264218,Videos/20240117/10264218/ai/C24_S20240117081701400_E20240117081801400.mp4,24,"{""x"": 324.0, ""y"": 280.0, ""height"": 67.0, ""width"": 69.0}",2024-01-17 08:17:06.400000+00:00,FALSE,,,,"{""x"": 170.0, ""y"": 153.0, ""height"": 50.0, ""width"": 32.0}",2024-01-17 08:17:01.500000+00:00,[]
7,10264218,Videos/20240117/10264218/ai/C8_S20240117081656500_E20240117081756500.mp4,8,"{""x"": 147.0, ""y"": 52.0, ""height"": 40.0, ""width"": 16.0}",2024-01-17 08:17:01.500000+00:00,FALSE,,,,"{""x"": 155.0, ""y"": 341.0, ""height"": 42.0, ""width"": 19.0}",2024-01-17 08:16:56.600000+00:00,[]
8,10264218,Videos/20240117/10264218/ai/C9_S20240117081651600_E20240117081751600.mp4,9,"{""x"": 169.0, ""y"": 27.0, ""height"": 44.0, ""width"": 19.0}",2024-01-17 08:16:56.600000+00:00,FALSE,,,,"{""x"": 256.0, ""y"": 338.0, ""height"": 39.0, ""width"": 21.0}",2024-01-17 08:16:51.700000+00:00,[]
9,10265413,Videos/20240117/10265413/ai/C3_S20240117081458400_E20240117081558400.mp4,3,"{""x"": 5.0, ""y"": 58.0, ""height"": 117.0, ""width"": 55.0}",2024-01-17 08:15:03.400000+00:00,TRUE,"{""x"": 103.142822265625, ""y"": 324.1474609375, ""height"": 41.630035400390625, ""width"": 35.621429443359375}",2024-01-17 08:15:52+00:00,"[{""time"": ""2024-01-17 08:15:05.800000+00:00"", ""center"": {""x"": 118.77098266601563, ""y"": 121.23101493835449}}, {""time"": ""2024-01-17 08:15:32.900000+00:00"", ""center"": {""x"": 110.85838150024414, ""y"": 235.1239515686035}}, {""time"": ""2024-01-17 08:15:40.200000+00:00"", ""center"": {""x"": 128.61969161987304, ""y"": 341.4287615966797}}]","{""x"": 119.0, ""y"": 351.0, ""height"": 12.0, ""width"": 9.0}",2024-01-17 08:15:52+00:00,"[{""time"": ""2024-01-17 08:15:12.300000+00:00"", ""center"": {""x"": 95.794, ""y"": 92.03}}, {""time"": ""2024-01-17 08:15:12.300000+00:00"", ""center"": {""x"": 94.628, ""y"": 87.697}}, {""time"": ""2024-01-17 08:15:22.500000+00:00"", ""center"": {""x"": 92.044, ""y"": 166.614}}, {""time"": ""2024-01-17 08:15:34.100000+00:00"", ""center"": {""x"": 81.378, ""y"": 238.031}}, {""time"": ""2024-01-17 08:15:34.100000+00:00"", ""center"": {""x"": 81.211, ""y"": 233.031}}, {""time"": ""2024-01-17 08:15:50.600000+00:00"", ""center"": {""x"": 91.378, ""y"": 313.365}}]"
10,10264218,Videos/20240117/10264218/ai/C10_S20240117081646700_E20240117081746700.mp4,10,"{""x"": 279.0, ""y"": 32.0, ""height"": 48.0, ""width"": 25.0}",2024-01-17 08:16:51.700000+00:00,FALSE,,,,"{""x"": 167.0, ""y"": 341.0, ""height"": 28.0, ""width"": 19.0}",2024-01-17 08:16:46.800000+00:00,[]
11,10264218,Videos/20240117/10264218/ai/C11_S20240117081641800_E20240117081741800.mp4,11,"{""x"": 196.0, ""y"": 63.0, ""height"": 19.0, ""width"": 17.0}",2024-01-17 08:16:46.800000+00:00,FALSE,,,,"{""x"": 197.0, ""y"": 331.0, ""height"": 46.0, ""width"": 29.0}",2024-01-17 08:16:41.900000+00:00,[]
12,10264218,Videos/20240117/10264218/ai/C12_S20240117081636900_E20240117081736900.mp4,12,"{""x"": 216.0, ""y"": 25.0, ""height"": 42.0, ""width"": 25.0}",2024-01-17 08:16:41.900000+00:00,FALSE,,,,"{""x"": 266.0, ""y"": 341.0, ""height"": 50.0, ""width"": 19.0}",2024-01-17 08:16:37+00:00,[]
13,10264218,Videos/20240117/10264218/ai/C13_S20240117081632000_E20240117081732000.mp4,13,"{""x"": 262.0, ""y"": 0.0, ""height"": 45.0, ""width"": 26.0}",2024-01-17 08:16:37+00:00,FALSE,,,,"{""x"": 585.0, ""y"": 89.0, ""height"": 41.0, ""width"": 47.0}",2024-01-17 08:16:32.100000+00:00,[]
14,10264218,Videos/20240117/10264218/ai/C17_S20240117081627100_E20240117081727100.mp4,17,"{""x"": 139.0, ""y"": 174.0, ""height"": 40.0, ""width"": 17.0}",2024-01-17 08:16:32.100000+00:00,TRUE,"{""x"": 285.8691101074219, ""y"": 9.581755638122559, ""height"": 9.246185302734375, ""width"": 18.82367706298828}",2024-01-17 08:17:08.800000+00:00,"[{""time"": ""2024-01-17 08:16:33.600000+00:00"", ""center"": {""x"": 333.3590505981445, ""y"": 186.56924438476562}}, {""time"": ""2024-01-17 08:16:43.700000+00:00"", ""center"": {""x"": 315.6818786621094, ""y"": 93.15799545288085}}, {""time"": ""2024-01-17 08:16:56+00:00"", ""center"": {""x"": 319.2263491821289, ""y"": 27.791142349243163}}]","{""x"": 277.0, ""y"": 170.0, ""height"": 48.0, ""width"": 36.0}",2024-01-17 08:16:27.200000+00:00,[]
15,10265413,Videos/20240117/10265413/ai/C4_S20240117081547000_E20240117081647000.mp4,4,"{""x"": 175.0, ""y"": 71.0, ""height"": 10.0, ""width"": 6.0}",2024-01-17 08:15:52+00:00,TRUE,"{""x"": 126.36996459960938, ""y"": 324.7588195800781, ""height"": 45.37513732910156, ""width"": 35.241180419921875}",2024-01-17 08:16:20.300000+00:00,"[{""time"": ""2024-01-17 08:15:55.900000+00:00"", ""center"": {""x"": 120.43554557800293, ""y"": 123.92757041931152}}, {""time"": ""2024-01-17 08:16:10.800000+00:00"", ""center"": {""x"": 115.91789344787598, ""y"": 199.66579498291014}}]","{""x"": 147.0, ""y"": 354.0, ""height"": 17.0, ""width"": 6.0}",2024-01-17 08:16:22.100000+00:00,"[{""time"": ""2024-01-17 08:16:03.200000+00:00"", ""center"": {""x"": 77.573, ""y"": 112.099}}, {""time"": ""2024-01-17 08:16:03.200000+00:00"", ""center"": {""x"": 76.906, ""y"": 108.099}}, {""time"": ""2024-01-17 08:16:03.200000+00:00"", ""center"": {""x"": 77.073, ""y"": 104.432}}, {""time"": ""2024-01-17 08:16:17+00:00"", ""center"": {""x"": 82.698, ""y"": 185.933}}, {""time"": ""2024-01-17 08:16:17+00:00"", ""center"": {""x"": 82.823, ""y"": 183.558}}]"
16,10264218,Videos/20240117/10264218/ai/C18_S20240117081622200_E20240117081722200.mp4,18,"{""x"": 313.0, ""y"": 189.0, ""height"": 59.0, ""width"": 83.0}",2024-01-17 08:16:27.200000+00:00,TRUE,"{""x"": 316.7373046875, ""y"": 0.0, ""height"": 32.770721435546875, ""width"": 34.5217399597168}",2024-01-17 08:16:45.700000+00:00,"[{""time"": ""2024-01-17 08:16:33.800000+00:00"", ""center"": {""x"": 357.8140118408203, ""y"": 215.21984191894532}}]","{""x"": 353.0, ""y"": 1.0, ""height"": 17.0, ""width"": 11.0}",2024-01-17 08:16:22.300000+00:00,[]
17,10264218,Videos/20240117/10264218/ai/C19_S20240117081617300_E20240117081717300.mp4,19,"{""x"": 346.0, ""y"": 298.0, ""height"": 25.0, ""width"": 18.0}",2024-01-17 08:16:22.300000+00:00,TRUE,"{""x"": 505.0940246582031, ""y"": 203.46336364746094, ""height"": 67.63339233398438, ""width"": 32.23469543457031}",2024-01-17 08:17:17.200000+00:00,"[{""time"": ""2024-01-17 08:16:39.700000+00:00"", ""center"": {""x"": 508.1376803588867, ""y"": 266.45044845581054}}, {""time"": ""2024-01-17 08:17:11.700000+00:00"", ""center"": {""x"": 511.7964764404297, ""y"": 194.5827066040039}}]","{""x"": 436.0, ""y"": 8.0, ""height"": 25.0, ""width"": 17.0}",2024-01-17 08:16:17.400000+00:00,[]
18,10264218,Videos/20240117/10264218/ai/C20_S20240117081612400_E20240117081712400.mp4,20,"{""x"": 445.0, ""y"": 257.0, ""height"": 55.0, ""width"": 24.0}",2024-01-17 08:16:17.400000+00:00,TRUE,"{""x"": 350.856201171875, ""y"": 299.2855529785156, ""height"": 40.959503173828125, ""width"": 50.42669677734375}",2024-01-17 08:16:25.700000+00:00,[],"{""x"": 529.0, ""y"": 5.0, ""height"": 21.0, ""width"": 8.0}",2024-01-17 08:16:12.500000+00:00,[]
19,10264218,Videos/20240117/10264218/ai/C21_S20240117081607500_E20240117081707500.mp4,21,"{""x"": 369.0, ""y"": 353.0, ""height"": 3.0, ""width"": 2.0}",2024-01-17 08:16:12.500000+00:00,FALSE,,,,"{""x"": 338.0, ""y"": 7.0, ""height"": 28.0, ""width"": 16.0}",2024-01-17 08:16:07.600000+00:00,[]
20,10264218,Videos/20240117/10264218/ai/C22_S20240117081602600_E20240117081702600.mp4,22,"{""x"": 332.0, ""y"": 328.0, ""height"": 25.0, ""width"": 14.0}",2024-01-17 08:16:07.600000+00:00,FALSE,,,,"{""x"": 415.0, ""y"": 8.0, ""height"": 28.0, ""width"": 19.0}",2024-01-17 08:16:02.700000+00:00,[]
21,10265413,Videos/20240117/10265413/ai/C5_S20240117081617100_E20240117081717100.mp4,5,"{""x"": 113.0, ""y"": 34.0, ""height"": 24.0, ""width"": 7.0}",2024-01-17 08:16:22.100000+00:00,TRUE,"{""x"": 406.52874755859375, ""y"": 213.19813537597656, ""height"": 37.458709716796875, ""width"": 32.83308410644531}",2024-01-17 08:17:17+00:00,"[{""time"": ""2024-01-17 08:16:23.500000+00:00"", ""center"": {""x"": 131.34452217102051, ""y"": 56.78771369934082}}, {""time"": ""2024-01-17 08:16:34.700000+00:00"", ""center"": {""x"": 127.95638809204101, ""y"": 142.4923536682129}}, {""time"": ""2024-01-17 08:17:02.400000+00:00"", ""center"": {""x"": 198.87051162719726, ""y"": 201.4829685974121}}]","{""x"": 158.0, ""y"": 134.0, ""height"": 39.0, ""width"": 35.0}",2024-01-17 08:17:17.100000+00:00,"[{""time"": ""2024-01-17 08:16:27.600000+00:00"", ""center"": {""x"": 88.512, ""y"": 42.362}}, {""time"": ""2024-01-17 08:16:27.600000+00:00"", ""center"": {""x"": 89.345, ""y"": 36.529}}, {""time"": ""2024-01-17 08:16:51.200000+00:00"", ""center"": {""x"": 101.012, ""y"": 146.404}}, {""time"": ""2024-01-17 08:16:51.200000+00:00"", ""center"": {""x"": 100.137, ""y"": 140.904}}, {""time"": ""2024-01-17 08:16:55.400000+00:00"", ""center"": {""x"": 112.137, ""y"": 149.53}}]"
22,10264218,Videos/20240117/10264218/ai/C23_S20240117081557700_E20240117081657700.mp4,23,"{""x"": 404.0, ""y"": 311.0, ""height"": 26.0, ""width"": 19.0}",2024-01-17 08:16:02.700000+00:00,FALSE,,,,"{""x"": 385.0, ""y"": 20.0, ""height"": 25.0, ""width"": 24.0}",2024-01-17 08:15:57.800000+00:00,[]
23,10264218,Videos/20240117/10264218/ai/C7_S20240117081552800_E20240117081652800.mp4,7,"{""x"": 344.0, ""y"": 74.0, ""height"": 45.0, ""width"": 13.0}",2024-01-17 08:15:57.800000+00:00,FALSE,,,,"{""x"": 101.0, ""y"": 51.0, ""height"": 15.0, ""width"": 16.0}",2024-01-17 08:15:52.900000+00:00,[]
24,10264218,Videos/20240117/10264218/ai/C25_S20240117081547900_E20240117081647900.mp4,25,"{""x"": 360.0, ""y"": 268.0, ""height"": 37.0, ""width"": 10.0}",2024-01-17 08:15:52.900000+00:00,FALSE,,,,"{""x"": 500.0, ""y"": 6.0, ""height"": 35.0, ""width"": 25.0}",2024-01-17 08:15:48+00:00,[]
25,10264218,Videos/20240117/10264218/ai/C16_S20240117081543000_E20240117081643000.mp4,16,"{""x"": 581.0, ""y"": 316.0, ""height"": 59.0, ""width"": 34.0}",2024-01-17 08:15:48+00:00,FALSE,,,,"{""x"": 297.0, ""y"": 0.0, ""height"": 16.0, ""width"": 16.0}",2024-01-17 08:15:43.100000+00:00,[]
26,10264218,Videos/20240117/10264218/ai/C27_S20240117081538100_E20240117081638100.mp4,27,"{""x"": 322.0, ""y"": 327.0, ""height"": 36.0, ""width"": 26.0}",2024-01-17 08:15:43.100000+00:00,FALSE,,,,"{""x"": 211.0, ""y"": 2.0, ""height"": 26.0, ""width"": 9.0}",2024-01-17 08:15:38.200000+00:00,[]
27,10265413,Videos/20240117/10265413/ai/C5_S20240117081712100_E20240117081812100.mp4,5,"{""x"": 158.0, ""y"": 134.0, ""height"": 39.0, ""width"": 35.0}",2024-01-17 08:17:17.100000+00:00,TRUE,"{""x"": 180.46136474609375, ""y"": 339.0363464355469, ""height"": 38.88783264160156, ""width"": 20.963653564453125}",2024-01-17 08:18:02.900000+00:00,"[{""time"": ""2024-01-17 08:17:20.300000+00:00"", ""center"": {""x"": 178.12057693481447, ""y"": 252.93892150878906}}, {""time"": ""2024-01-17 08:17:43.500000+00:00"", ""center"": {""x"": 201.7059895324707, ""y"": 248.30915466308593}}]","{""x"": 171.0, ""y"": 353.0, ""height"": 16.0, ""width"": 7.0}",2024-01-17 08:18:04.500000+00:00,"[{""time"": ""2024-01-17 08:17:35.100000+00:00"", ""center"": {""x"": 93.192, ""y"": 218.9}}, {""time"": ""2024-01-17 08:17:35.100000+00:00"", ""center"": {""x"": 93.358, ""y"": 214.234}}, {""time"": ""2024-01-17 08:17:48.800000+00:00"", ""center"": {""x"": 238.9, ""y"": 264.026}}, {""time"": ""2024-01-17 08:17:48.800000+00:00"", ""center"": {""x"": 238.15, ""y"": 260.026}}, {""time"": ""2024-01-17 08:17:57.900000+00:00"", ""center"": {""x"": 116.608, ""y"": 294.526}}, {""time"": ""2024-01-17 08:17:57.900000+00:00"", ""center"": {""x"": 114.733, ""y"": 289.901}}]"
28,10264218,Videos/20240117/10264218/ai/C28_S20240117081533200_E20240117081633200.mp4,28,"{""x"": 186.0, ""y"": 261.0, ""height"": 35.0, ""width"": 19.0}",2024-01-17 08:15:38.200000+00:00,FALSE,,,,"{""x"": 234.0, ""y"": 2.0, ""height"": 22.0, ""width"": 9.0}",2024-01-17 08:15:33.300000+00:00,[]
29,10264218,Videos/20240117/10264218/ai/C29_S20240117081528300_E20240117081628300.mp4,29,"{""x"": 275.0, ""y"": 174.0, ""height"": 40.0, ""width"": 44.0}",2024-01-17 08:15:33.300000+00:00,FALSE,,,,"{""x"": 211.0, ""y"": 3.0, ""height"": 28.0, ""width"": 12.0}",2024-01-17 08:15:28.400000+00:00,[]
30,10264218,Videos/20240117/10264218/ai/C30_S20240117081523400_E20240117081623400.mp4,30,"{""x"": 243.0, ""y"": 283.0, ""height"": 34.0, ""width"": 21.0}",2024-01-17 08:15:28.400000+00:00,FALSE,,,,"{""x"": 41.0, ""y"": 160.0, ""height"": 42.0, ""width"": 62.0}",2024-01-17 08:15:23.500000+00:00,[]
31,10264218,Videos/20240117/10264218/ai/C1_S20240117081518500_E20240117081618500.mp4,1,"{""x"": 493.0, ""y"": 135.0, ""height"": 67.0, ""width"": 80.0}",2024-01-17 08:15:23.500000+00:00,FALSE,,,,"{""x"": 154.0, ""y"": 335.0, ""height"": 51.0, ""width"": 20.0}",2024-01-17 08:15:18.600000+00:00,[]
32,10264218,Videos/20240117/10264218/ai/C2_S20240117081513600_E20240117081613600.mp4,2,"{""x"": 264.0, ""y"": 36.0, ""height"": 23.0, ""width"": 19.0}",2024-01-17 08:15:18.600000+00:00,FALSE,,,,"{""x"": 84.0, ""y"": 333.0, ""height"": 38.0, ""width"": 21.0}",2024-01-17 08:15:13.700000+00:00,[]
33,10264218,Videos/20240117/10264218/ai/C3_S20240117081508700_E20240117081608700.mp4,3,"{""x"": 0.0, ""y"": 60.0, ""height"": 162.0, ""width"": 53.0}",2024-01-17 08:15:13.700000+00:00,TRUE,"{""x"": 103.41846466064453, ""y"": 325.05145263671875, ""height"": 39.180274963378906, ""width"": 34.86419677734375}",2024-01-17 08:15:52+00:00,"[{""time"": ""2024-01-17 08:15:32.900000+00:00"", ""center"": {""x"": 110.87257286071777, ""y"": 235.1693650817871}}, {""time"": ""2024-01-17 08:15:40.100000+00:00"", ""center"": {""x"": 128.5360629272461, ""y"": 341.4149813842773}}]","{""x"": 388.0, ""y"": 345.0, ""height"": 29.0, ""width"": 15.0}",2024-01-17 08:15:08.800000+00:00,[]
34,10264218,Videos/20240117/10264218/ai/C4_S20240117081503800_E20240117081603800.mp4,4,"{""x"": 365.0, ""y"": 49.0, ""height"": 26.0, ""width"": 13.0}",2024-01-17 08:15:08.800000+00:00,FALSE,,,,"{""x"": 423.0, ""y"": 351.0, ""height"": 48.0, ""width"": 9.0}",2024-01-17 08:15:03.900000+00:00,[]
35,10265567,Videos/20240117/10265567/ai/C2_S20240117084102000_E20240117084202000.mp4,2,"{""x"": 282.0, ""y"": 48.0, ""height"": 14.0, ""width"": 13.0}",2024-01-17 08:41:07+00:00,TRUE,"{""x"": 98.94912719726562, ""y"": 327.7515869140625, ""height"": 53.56956481933594, ""width"": 32.2484130859375}",2024-01-17 08:41:19.200000+00:00,[],"{""x"": 164.0, ""y"": 343.0, ""height"": 20.0, ""width"": 12.0}",2024-01-17 08:41:20.100000+00:00,"[{""time"": ""2024-01-17 08:41:12.500000+00:00"", ""center"": {""x"": 97.266, ""y"": 99.12}}]"
36,10264218,Videos/20240117/10264218/ai/C5_S20240117081458900_E20240117081558900.mp4,5,"{""x"": 397.0, ""y"": 19.0, ""height"": 33.0, ""width"": 8.0}",2024-01-17 08:15:03.900000+00:00,FALSE,,,,"{""x"": 298.0, ""y"": 346.0, ""height"": 40.0, ""width"": 14.0}",2024-01-17 08:14:59+00:00,[]
37,10265567,Videos/20240117/10265567/ai/C3_S20240117084115100_E20240117084215100.mp4,3,"{""x"": 105.0, ""y"": 76.0, ""height"": 60.0, ""width"": 28.0}",2024-01-17 08:41:20.100000+00:00,TRUE,"{""x"": 109.08207702636719, ""y"": 334.0084533691406, ""height"": 40.36064147949219, ""width"": 25.991546630859375}",2024-01-17 08:41:39.700000+00:00,"[{""time"": ""2024-01-17 08:41:23.500000+00:00"", ""center"": {""x"": 118.49342575073243, ""y"": 121.06791839599609}}]","{""x"": 102.0, ""y"": 348.0, ""height"": 14.0, ""width"": 8.0}",2024-01-17 08:41:41.100000+00:00,"[{""time"": ""2024-01-17 08:41:27.300000+00:00"", ""center"": {""x"": 98.223, ""y"": 131.181}}, {""time"": ""2024-01-17 08:41:32.500000+00:00"", ""center"": {""x"": 97.223, ""y"": 205.931}}]"
38,10265413,Videos/20240117/10265413/ai/C6_S20240117081759500_E20240117081859500.mp4,6,"{""x"": 204.0, ""y"": 56.0, ""height"": 19.0, ""width"": 9.0}",2024-01-17 08:18:04.500000+00:00,TRUE,"{""x"": 54.15166473388672, ""y"": 324.3782958984375, ""height"": 43.53276062011719, ""width"": 35.6217041015625}",2024-01-17 08:18:45.500000+00:00,"[{""time"": ""2024-01-17 08:18:06.800000+00:00"", ""center"": {""x"": 91.09025150299072, ""y"": 52.92934352874756}}, {""time"": ""2024-01-17 08:18:30.100000+00:00"", ""center"": {""x"": 76.29717140197754, ""y"": 343.1582437133789}}, {""time"": ""2024-01-17 08:18:40.600000+00:00"", ""center"": {""x"": 83.07355648040772, ""y"": 329.190908203125}}]","{""x"": 24.0, ""y"": 354.0, ""height"": 19.0, ""width"": 6.0}",2024-01-17 08:18:48.100000+00:00,"[{""time"": ""2024-01-17 08:18:14.500000+00:00"", ""center"": {""x"": 48.15, ""y"": 45.312}}, {""time"": ""2024-01-17 08:18:14.500000+00:00"", ""center"": {""x"": 47.15, ""y"": 38.479}}, {""time"": ""2024-01-17 08:18:21.600000+00:00"", ""center"": {""x"": 59.984, ""y"": 39.145}}, {""time"": ""2024-01-17 08:18:21.600000+00:00"", ""center"": {""x"": 60.15, ""y"": 33.645}}, {""time"": ""2024-01-17 08:18:37.700000+00:00"", ""center"": {""x"": 47.15, ""y"": 284.231}}]"
39,10265567,Videos/20240117/10265567/ai/C4_S20240117084136100_E20240117084236100.mp4,4,"{""x"": 163.0, ""y"": 70.0, ""height"": 12.0, ""width"": 5.0}",2024-01-17 08:41:41.100000+00:00,TRUE,"{""x"": 133.22744750976562, ""y"": 330.3908386230469, ""height"": 53.05122375488281, ""width"": 29.609161376953125}",2024-01-17 08:41:57.400000+00:00,"[{""time"": ""2024-01-17 08:41:43.600000+00:00"", ""center"": {""x"": 122.5751040649414, ""y"": 144.71679832458497}}]","{""x"": 154.0, ""y"": 353.0, ""height"": 15.0, ""width"": 7.0}",2024-01-17 08:41:58.500000+00:00,"[{""time"": ""2024-01-17 08:41:47.200000+00:00"", ""center"": {""x"": 102.453, ""y"": 156.733}}, {""time"": ""2024-01-17 08:41:51.900000+00:00"", ""center"": {""x"": 112.703, ""y"": 151.733}}]"
40,10265567,Videos/20240117/10265567/ai/C5_S20240117084153500_E20240117084253500.mp4,5,"{""x"": 123.0, ""y"": 32.0, ""height"": 21.0, ""width"": 8.0}",2024-01-17 08:41:58.500000+00:00,TRUE,"{""x"": 134.67718505859375, ""y"": 339.8628845214844, ""height"": 33.634796142578125, ""width"": 20.00653076171875}",2024-01-17 08:42:23.600000+00:00,"[{""time"": ""2024-01-17 08:42:03.800000+00:00"", ""center"": {""x"": 134.5289427947998, ""y"": 251.67784454345704}}, {""time"": ""2024-01-17 08:42:15.900000+00:00"", ""center"": {""x"": 149.42966644287108, ""y"": 344.76760131835937}}]","{""x"": 257.0, ""y"": 344.0, ""height"": 16.0, ""width"": 10.0}",2024-01-17 08:42:13.600000+00:00,"[{""time"": ""2024-01-17 08:42:08.600000+00:00"", ""center"": {""x"": 117.79, ""y"": 259.031}}]"
41,10264218,Videos/20240117/10264218/ai/C6_S20240117081454000_E20240117081554000.mp4,6,"{""x"": 325.0, ""y"": 63.0, ""height"": 47.0, ""width"": 21.0}",2024-01-17 08:14:59+00:00,FALSE,,,,"{""x"": 197.0, ""y"": 48.0, ""height"": 74.0, ""width"": 54.0}",2024-01-17 08:15:54+00:00,[]
42,10265567,Videos/20240117/10265567/ai/C6_S20240117084208600_E20240117084308600.mp4,6,"{""x"": 280.0, ""y"": 55.0, ""height"": 21.0, ""width"": 13.0}",2024-01-17 08:42:13.600000+00:00,TRUE,"{""x"": 49.78224563598633, ""y"": 321.8739929199219, ""height"": 60.28032302856445, ""width"": 38.126007080078125}",2024-01-17 08:42:38.600000+00:00,"[{""time"": ""2024-01-17 08:42:12.600000+00:00"", ""center"": {""x"": 94.54569454193116, ""y"": 55.98721893310547}}]","{""x"": 231.0, ""y"": 348.0, ""height"": 10.0, ""width"": 8.0}",2024-01-17 08:42:40.100000+00:00,"[{""time"": ""2024-01-17 08:42:20.600000+00:00"", ""center"": {""x"": 76.57, ""y"": 52.508}}, {""time"": ""2024-01-17 08:42:20.600000+00:00"", ""center"": {""x"": 77.07, ""y"": 45.008}}, {""time"": ""2024-01-17 08:42:32.400000+00:00"", ""center"": {""x"": 53.32, ""y"": 85.508}}]"
