line,order_id,video_name,camera_id,init_box,init_time,ai_tracker_picker_found,ai_tracker_last_bbox,ai_tracker_last_time,ai_tracker_stalls,agent_last_bbox,agent_last_time,agent_stalls
756,10268872,Videos/20240117/10268872/ai/C1_S20240117104101288_E20240117104201288.mp4,1,"{""x"": 491.0, ""y"": 140.0, ""height"": 57.0, ""width"": 36.0}",2024-01-17 10:41:06.288000+00:00,TRUE,"{""x"": 381.4110107421875, ""y"": 317.7749938964844, ""height"": 46.159393310546875, ""width"": 42.225006103515625}",2024-01-17 10:41:10.288000+00:00,[],"{""x"": 330.0, ""y"": 347.0, ""height"": 61.0, ""width"": 13.0}",2024-01-17 10:41:11.188000+00:00,[]
757,10269190,Videos/20240117/10269190/ai/C21_S20240117105208700_E20240117105308700.mp4,21,"{""x"": 371.0, ""y"": 354.0, ""height"": 2.0, ""width"": 1.0}",2024-01-17 10:52:13.700000+00:00,TRUE,"{""x"": 473.8696594238281, ""y"": 14.621735572814941, ""height"": 41.949981689453125, ""width"": 38.149105072021484}",2024-01-17 10:53:08.600000+00:00,"[{""time"": ""2024-01-17 10:52:35+00:00"", ""center"": {""x"": 548.3039730834961, ""y"": 184.6542707824707}}, {""time"": ""2024-01-17 10:52:43+00:00"", ""center"": {""x"": 470.9317208862305, ""y"": 227.76868148803712}}, {""time"": ""2024-01-17 10:52:53.100000+00:00"", ""center"": {""x"": 487.63261749267576, ""y"": 214.78465072631835}}]","{""x"": 470.0, ""y"": 59.0, ""height"": 32.0, ""width"": 26.0}",2024-01-17 10:53:08.700000+00:00,"[{""time"": ""2024-01-17 10:52:29.800000+00:00"", ""center"": {""x"": 564.64, ""y"": 179.684}}, {""time"": ""2024-01-17 10:52:35.500000+00:00"", ""center"": {""x"": 567.473, ""y"": 182.517}}, {""time"": ""2024-01-17 10:52:50.800000+00:00"", ""center"": {""x"": 562.306, ""y"": 187.184}}, {""time"": ""2024-01-17 10:52:50.800000+00:00"", ""center"": {""x"": 558.473, ""y"": 181.351}}, {""time"": ""2024-01-17 10:53:02.200000+00:00"", ""center"": {""x"": 555.473, ""y"": 174.351}}, {""time"": ""2024-01-17 10:53:02.200000+00:00"", ""center"": {""x"": 562.473, ""y"": 172.017}}]"
758,10268865,Videos/20240117/10268865/ai/C9_S20240117102833300_E20240117102933300.mp4,9,"{""x"": 150.0, ""y"": 26.0, ""height"": 30.0, ""width"": 19.0}",2024-01-17 10:28:38.300000+00:00,TRUE,"{""x"": 117.30928039550781, ""y"": 331.7141418457031, ""height"": 35.369842529296875, ""width"": 28.285858154296875}",2024-01-17 10:28:41.300000+00:00,[],"{""x"": 101.0, ""y"": 354.0, ""height"": 17.0, ""width"": 6.0}",2024-01-17 10:28:42.900000+00:00,[]
759,10263914,Videos/20240117/10263914/ai/C23_S20240117085921900_E20240117090021900.mp4,23,"{""x"": 444.0, ""y"": 121.0, ""height"": 33.0, ""width"": 28.0}",2024-01-17 08:59:26.900000+00:00,TRUE,"{""x"": 456.04486083984375, ""y"": 0.0, ""height"": 33.246551513671875, ""width"": 26.56232261657715}",2024-01-17 09:00:02.900000+00:00,"[{""time"": ""2024-01-17 08:59:22+00:00"", ""center"": {""x"": 497.714905090332, ""y"": 127.34293075561523}}]","{""x"": 421.0, ""y"": 27.0, ""height"": 28.0, ""width"": 28.0}",2024-01-17 09:00:03+00:00,[]
760,10268872,Videos/20240117/10268872/ai/C2_S20240117104106188_E20240117104206188.mp4,2,"{""x"": 355.0, ""y"": 66.0, ""height"": 41.0, ""width"": 21.0}",2024-01-17 10:41:11.188000+00:00,TRUE,"{""x"": 187.8768768310547, ""y"": 330.907958984375, ""height"": 49.77430725097656, ""width"": 29.092041015625}",2024-01-17 10:41:15.488000+00:00,[],"{""x"": 144.0, ""y"": 334.0, ""height"": 40.0, ""width"": 26.0}",2024-01-17 10:41:16.188000+00:00,[]
761,10268889,Videos/20240117/10268889/ai/C3_S20240117102555000_E20240117102655000.mp4,3,"{""x"": 93.0, ""y"": 74.0, ""height"": 86.0, ""width"": 44.0}",2024-01-17 10:26:00+00:00,TRUE,"{""x"": 125.05720520019531, ""y"": 337.1567687988281, ""height"": 36.12754821777344, ""width"": 22.4818115234375}",2024-01-17 10:26:33.900000+00:00,"[{""time"": ""2024-01-17 10:25:56.500000+00:00"", ""center"": {""x"": 135.0260567474365, ""y"": 60.15599491119385}}, {""time"": ""2024-01-17 10:26:23.500000+00:00"", ""center"": {""x"": 126.39828811645508, ""y"": 282.4136764526367}}]","{""x"": 119.0, ""y"": 353.0, ""height"": 22.0, ""width"": 7.0}",2024-01-17 10:26:35.300000+00:00,"[{""time"": ""2024-01-17 10:26:01.900000+00:00"", ""center"": {""x"": 104.975, ""y"": 49.629}}, {""time"": ""2024-01-17 10:26:20.300000+00:00"", ""center"": {""x"": 83.892, ""y"": 201.214}}, {""time"": ""2024-01-17 10:26:30.300000+00:00"", ""center"": {""x"": 97.642, ""y"": 278.465}}]"
762,10269190,Videos/20240117/10269190/ai/C21_S20240117105303700_E20240117105403700.mp4,21,"{""x"": 470.0, ""y"": 59.0, ""height"": 32.0, ""width"": 26.0}",2024-01-17 10:53:08.700000+00:00,TRUE,"{""x"": 475.4397888183594, ""y"": 0.0, ""height"": 36.772674560546875, ""width"": 37.12178039550781}",2024-01-17 10:53:28.200000+00:00,"[{""time"": ""2024-01-17 10:53:07.800000+00:00"", ""center"": {""x"": 517.5848950195312, ""y"": 47.39032828807831}}]","{""x"": 477.0, ""y"": 13.0, ""height"": 15.0, ""width"": 14.0}",2024-01-17 10:53:11.800000+00:00,[]
763,10269213,Videos/20240117/10269213/ai/C24_S20240117105123800_E20240117105223800.mp4,24,"{""x"": 279.0, ""y"": 155.0, ""height"": 49.0, ""width"": 30.0}",2024-01-17 10:51:28.800000+00:00,TRUE,"{""x"": 121.70838165283203, ""y"": 35.61994552612305, ""height"": 51.73522186279297, ""width"": 61.395626068115234}",2024-01-17 10:52:23.700000+00:00,"[{""time"": ""2024-01-17 10:51:31+00:00"", ""center"": {""x"": 326.9324087524414, ""y"": 130.5115407562256}}, {""time"": ""2024-01-17 10:51:45.700000+00:00"", ""center"": {""x"": 234.89904296875, ""y"": 77.43310352325439}}, {""time"": ""2024-01-17 10:52:00+00:00"", ""center"": {""x"": 233.68427185058593, ""y"": 91.95985473632813}}, {""time"": ""2024-01-17 10:52:13.500000+00:00"", ""center"": {""x"": 161.6394470214844, ""y"": 79.34663314819336}}]","{""x"": 177.0, ""y"": 140.0, ""height"": 43.0, ""width"": 33.0}",2024-01-17 10:51:49.200000+00:00,"[{""time"": ""2024-01-17 10:51:37.400000+00:00"", ""center"": {""x"": 346.269, ""y"": 81.608}}, {""time"": ""2024-01-17 10:51:43.300000+00:00"", ""center"": {""x"": 351.769, ""y"": 102.608}}]"
764,10269152,Videos/20240117/10269152/ai/C21_S20240117105601200_E20240117105701200.mp4,21,"{""x"": 364.0, ""y"": 352.0, ""height"": 3.0, ""width"": 2.0}",2024-01-17 10:56:06.200000+00:00,TRUE,"{""x"": 283.46795654296875, ""y"": 0.0, ""height"": 37.241119384765625, ""width"": 39.18838119506836}",2024-01-17 10:56:09.700000+00:00,[],"{""x"": 290.0, ""y"": 5.0, ""height"": 63.0, ""width"": 37.0}",2024-01-17 10:56:11+00:00,[]
765,10268865,Videos/20240117/10268865/ai/C10_S20240117102837900_E20240117102937900.mp4,10,"{""x"": 119.0, ""y"": 47.0, ""height"": 18.0, ""width"": 6.0}",2024-01-17 10:28:42.900000+00:00,TRUE,"{""x"": 119.91880798339844, ""y"": 330.26446533203125, ""height"": 42.11912536621094, ""width"": 29.73553466796875}",2024-01-17 10:28:46.600000+00:00,[],"{""x"": 184.0, ""y"": 348.0, ""height"": 18.0, ""width"": 12.0}",2024-01-17 10:28:48.100000+00:00,[]
